,SoilMoisture,Humidity,Temperature,nextSoilMoisture
0,61.613552708212005,93.15259172976123,26.33232382061736,59.61888019801986
1,61.60131032731509,93.13781712288878,26.34001397786838,59.6110237623763
2,61.589067946418176,93.12304251601633,26.3477041351194,59.60187821782184
3,61.57682556552127,93.10826790914388,26.35539429237042,59.59402178217828
4,61.564583184624354,93.09349330227141,26.363084449621436,59.584876237623824
5,61.55234080372744,93.07871869539896,26.370774606872455,59.57573069306937
6,61.540098422830525,93.06394408852651,26.378464764123475,59.5665851485149
7,61.52785604193361,93.04916948165406,26.386154921374494,59.55743960396044
8,61.5156136610367,93.03439487478161,26.393845078625514,59.54829405940598
9,61.50337128013979,93.01962026790916,26.401535235876533,59.53914851485151
10,61.491128899242874,93.00484566103671,26.409225393127553,59.53000297029705
11,61.47888651834596,92.99007105416425,26.416915550378572,59.520857425742584
12,61.466644137449045,92.9752964472918,26.42460570762959,59.51171188118811
13,61.45440175655214,92.96052184041935,26.432295864880608,59.50389009900989
14,61.44215937565522,92.9457472335469,26.439986022131627,59.496068316831675
15,61.42991699475831,92.93097262667445,26.447676179382647,59.488246534653456
16,61.417674613861394,92.916198019802,26.455366336633666,59.480424752475244
17,61.40543223296448,92.90142341292955,26.463056493884686,59.47260297029703
18,61.39318985206757,92.88664880605708,26.470746651135705,59.46478118811881
19,61.38094747117066,92.87187419918463,26.478436808386725,59.4569594059406
20,61.36870509027374,92.85709959231218,26.48612696563774,59.44913762376239
21,61.35646270937683,92.84232498543973,26.49381712288876,59.44131584158417
22,61.34422032847991,92.82755037856728,26.50150728013978,59.43349405940595
23,61.331977947583,92.81277577169483,26.5091974373908,59.42438811881188
24,61.31973556668609,92.79800116482238,26.51688759464182,59.41528217821783
25,61.30749318578918,92.78322655794992,26.52457775189284,59.40749405940594
26,61.29525080489226,92.76845195107747,26.532267909143858,59.39838811881189
27,61.28300842399535,92.75367734420502,26.539958066394878,59.390600000000006
28,61.27076604309843,92.73890273733257,26.547648223645893,59.38281188118812
